venue,altitude_factor,heat_factor,notes
Mexico City,0.93,1.00,"~2240m altitude - significant work-rate drop, especially after 60'"
Guadalajara,0.97,1.00,"~1566m altitude - moderate effect"
Monterrey,1.00,0.95,"Low altitude but very hot/humid June-July"
Atlanta,1.00,0.97,"Indoor/retractable roof - heat effect smaller than outdoor venues"
Boston,1.00,1.00,"Mild summer climate"
Dallas,1.00,0.95,"Hot, but Cowboys Stadium has a roof - adjust if matches confirmed indoors"
Houston,1.00,0.95,"Hot/humid, NRG Stadium roof reduces this somewhat"
Kansas City,1.00,0.96,"Hot and humid June-July"
Los Angeles,1.00,1.00,"Mild coastal climate"
Miami,1.00,0.95,"Very hot/humid"
New York New Jersey,1.00,0.98,"Can be hot in July"
Philadelphia,1.00,0.98,"Can be hot in July"
San Francisco Bay Area,1.00,1.00,"Mild coastal climate"
Seattle,1.00,1.00,"Mild climate"
Toronto,1.00,1.00,"Mild climate, possible roof"
Vancouver,1.00,1.00,"Mild climate, roof"
